Country Name,Country Code,Series Name,Series Code,Year,Value
Germany,DEU,Oil,EG.ELC.PETR.ZS,1973.0,11.9761614736932
Germany,DEU,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,4.06916485019447
Germany,DEU,Nuclear,EG.ELC.NUCL.ZS,1973.0,3.23385476770526
Germany,DEU,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,91.9191028764372
Germany,DEU,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.777877505663119
Ghana,GHA,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Ghana,GHA,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Ghana,GHA,Oil,EG.ELC.PETR.ZS,1973.0,0.971867007672634
Ghana,GHA,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,99.0281329923274
Ghana,GHA,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Ghana,GHA,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,0.971867007672634
Ghana,GHA,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Gibraltar,GIB,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Gibraltar,GIB,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Gibraltar,GIB,Oil,EG.ELC.PETR.ZS,1973.0,100.0
Gibraltar,GIB,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,0.0
Gibraltar,GIB,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Gibraltar,GIB,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,100.0
Gibraltar,GIB,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Greece,GRC,Coal,EG.ELC.COAL.ZS,1973.0,35.4525207531889
Greece,GRC,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Greece,GRC,Oil,EG.ELC.PETR.ZS,1973.0,49.5444421947763
Greece,GRC,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,15.0030370520348
Greece,GRC,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Greece,GRC,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,84.9969629479652
Greece,GRC,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Guatemala,GTM,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Guatemala,GTM,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Guatemala,GTM,Oil,EG.ELC.PETR.ZS,1973.0,69.6035242290749
Guatemala,GTM,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,25.6607929515419
Guatemala,GTM,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Guatemala,GTM,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,69.6035242290749
Guatemala,GTM,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,4.73568281938326
Haiti,HTI,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Haiti,HTI,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Haiti,HTI,Oil,EG.ELC.PETR.ZS,1973.0,21.3114754098361
Haiti,HTI,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,68.8524590163934
Haiti,HTI,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Haiti,HTI,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,21.3114754098361
Haiti,HTI,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,9.83606557377049
Honduras,HND,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Honduras,HND,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Honduras,HND,Oil,EG.ELC.PETR.ZS,1973.0,26.1316872427983
Honduras,HND,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,73.8683127572017
Honduras,HND,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Honduras,HND,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,26.1316872427983
Honduras,HND,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
"Hong Kong SAR, China",HKG,Coal,EG.ELC.COAL.ZS,1973.0,0.0
"Hong Kong SAR, China",HKG,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
"Hong Kong SAR, China",HKG,Oil,EG.ELC.PETR.ZS,1973.0,100.0
"Hong Kong SAR, China",HKG,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,0.0
"Hong Kong SAR, China",HKG,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
"Hong Kong SAR, China",HKG,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,100.0
"Hong Kong SAR, China",HKG,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Hungary,HUN,Coal,EG.ELC.COAL.ZS,1973.0,66.0148500821856
Hungary,HUN,Natural Gas,EG.ELC.NGAS.ZS,1973.0,16.2217309981296
Hungary,HUN,Oil,EG.ELC.PETR.ZS,1973.0,17.1909539194015
Hungary,HUN,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,0.572465000283399
Hungary,HUN,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Hungary,HUN,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,99.4275349997166
